Blatt	N	лист m, лист m, листо́к m		nt	pl:	<-(e)s, Blätter>
bleiben	VB	остава́ться	intr		bleibt, blieb, geblieben	
Bleistift	N	каранда́ш m		m		<-(e)s, -e>
Blick	N	взгляд m, взор m		m		<-(e)s, -e>
blind	ADJ	слепо́й				
blitzen	VB	сверка́ть	intr		perf	
Blitz	N	мо́лния f, вспы́шка f		m		<-es, -e>
blond	ADJ	светловоло́сый, белоку́рый				
bloß	ADJ	го́лый, обнажённый				
blühen	VB	цвести́ imperf, процвета́ть imperf	intr		imperf	
Blume	N	цвето́к m, пе́на f		f		<-, -n>
Bluse	N	блу́зка f		f		<-n>
bluten	VB	кровоточи́ть imperf	intr		imperf	
Blut	N	кровь f		nt	kein pl	<-(e)s>
Boden	N	земля́ f, по́чва f		m	pl:	<-s, Böden>
Bogen	N	дуга́ f		m	pl:	<-s, - [oder südd, A Bögen]>
Bohne	N			f		<-, -n>
Boot	N	ло́дка f		nt		<-(e)s, -e>
Botschaft	N	весть f, изве́стие nt		f		<-, -en>
böse	ADJ	плохо́й, скве́рный				
braten	VB	жа́рить, за- perf	trans		brät, briet, gebraten	
Braten	N	жарко́е nt		m		<-s, ->
brauchen	VB	нужда́ться imperf	trans		imperf	
brechen	VB	лома́ть, раз- perf	trans		bricht, brach, gebrochen	
breit	ADJ	широ́кий				
Breite	N	ширина́ f		f		<-, -n>
bremsen	VB	тормози́ть, за- perf, остана́вливаться	intr		perf	
Bremse	N	то́рмоз m, слепе́нь m		f		<-, -n>
brennen	VB	горе́ть, сгоре́ть perf, пыла́ть imperf	intr		brennt, brannte, gebrannt	
Brief	N	письмо́ nt		m		<-(e)s, -e>
Briefkasten	N	почто́вый я́щик m		m		<-s, -kästen>
Briefmarke	N	почто́вая ма́рка f		f		<-, -n>
Brille	N	очки́ pl		f		<-, -n>
bringen	VB	приноси́ть	trans		bringt, brachte, gebracht	
Broschüre	N	брошю́ра f		f		<-, -n>
Brot	N	хлеб m		nt		<-(e)s, -e>
Brötchen	N	бу́лочка f		nt		<-s, ->
Brücke	N	мост m		f		<-, -n>
Bruder	N	брат m		m	pl:	<-s, Brüder>
Brust	N	грудь f, бюст m		f	pl:	<-, Brüste>
Buch	N	кни́га f		nt	pl:	<-(e)s, Bücher>
Buchhandlung	N	кни́жный магази́н m		f		<-, -en>
buchen	VB	брони́ровать (н)perf, за- perf	trans		(н)perf	
buchstabieren	VB	диктова́ть, про-  perf  по бу́квам	trans		ohne ge-	
Buchstabe	N	бу́ква f		m	rar	<-ns [oder rar -n], -n>
Buffet	N			nt		<-s, -s>
Bühne	N	сце́на f		f		<-, -n>
bunt	ADJ	цветно́й, разноцве́тный				
Burg	N	кре́пость f		f	pl:	<-, -en>
Büro	N	бюро́ nt		nt		<-s, -s>
Büro	N	Siehe auch: Büro офис				
Bürste	N	щётка f		f		<-, -n>
Zahnbürste	N	зубна́я щётка f		f		<-, -n>
Bus	N	авто́бус m		m		<-ses, -se>
Butter	N	ма́сло nt		f		<->
Café	N	кафе́ nt		nt		<-s, -s>
Cafeteria	N	кафете́рий m		f		<-, -s>
Chance	N	шанс m, возмо́жность f		f		<-, -n>
Couch	N	куше́тка f		f		<-, -s>
Creme	N	крем m		f		<-, -s>
Cousin	N	кузе́н m, кузи́на f		m		<-s, -s>
da	ADV					
dabei	ADV	при э́том, при том				
Dach	N	кры́ша f		nt		<-(e)s, Dächer>
dafür	ADV	за э́то				
dagegen	ADV	про́тив э́того				
daher	ADV	отту́да				
dahin	ADV	туда́				
damals	ADV	тогда́, в то́ вре́мя				
Dame	N	да́ма f, госпожа́ f		f		<-, -n>
damit	ADV	э́тим, тем				
danach	ADV	зате́м, по́сле э́того				
danach	ADV	пото́м				
daneben	ADV	во́зле, ря́дом				
danken	VB	благодари́ть, по- perf	intr		perf	
Dank	N	благода́рность f, призна́тельность f		m		<-(e)s>
dankbar	ADJ	благода́рный				
danke	INTERJ	спаси́бо				
dann	ADV	тогда́, пото́м, зате́м				
darstellen	VB	изобража́ть	trans		perf	
